"Laikotarpis","Rodiklis","Pajamų, sąnaudų, pelno sudedamosios dalys","Ekonominės veiklos rūšis (EVRK 2 red., 2 ženklų lygiu)","Matavimo vienetai","Reikšmė"
"2016K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","25689"
"2016K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","17777"
"2017K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","14164"
"2017K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","19826"
"2017K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","27258"
"2017K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","19596"
"2018K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","12838"
"2018K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","22211"
"2018K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","19819"
"2018K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","20264"
"2019K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","24342"
"2019K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","28204"
"2019K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","24347"
"2019K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","27145"
"2020K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","21942"
"2007K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","35189"
"2007K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","57338"
"2007K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","59615"
"2007K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","61822"
"2008K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","41356"
"2008K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","63297"
"2008K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","66275"
"2008K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","41767"
"2009K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","21536"
"2009K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","37654"
"2009K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","32114"
"2009K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","33691"
"2010K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","31582"
"2010K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","40995"
"2010K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","45264"
"2010K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","45640"
"2011K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","38218"
"2011K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","58231"
"2011K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","59885"
"2011K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","52601"
"2012K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","39406"
"2012K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","56064"
"2012K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","55176"
"2012K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","59707"
